Source,Target,Weight
CRESSEN,MELISANDRE,10
GILLY,JON,16
HOT_PIE,LOMMY,10
KOVARRO,XARO,10
MERYN,SANSA,10
PODRICK,VARYS,15
QHORIN,RATTLESHIRT,10
ALTON,CERSEI,9
BRONN,JOFFREY,13
CATELYN,LORAS,9
HODOR,MAESTER_LUWIN,9
HOUND,LANCEL,9
JAQEN,RORGE,9
JOFFREY,STANNIS,14
JOFFREY,ROS,9
MANCE,QHORIN,9
PYATT_PREE,XARO,9
SANSA,TOMMEN,13
AMORY,YOREN,8
ARYA,BITER,8
BALON,ROBB,10
BITER,RORGE,10
CATELYN,JACKS,8
EDDISON_TOLLETT,JON,8
JOFFREY,MYRCELLA,8
JOFFREY,LORAS,19
MANDON,TYRION,8
MELISANDRE,RENLY,8
REGINALD,TYWIN,8
ARYA,POLLIVER,26
BLACK_LORREN,DAGMER,7
BRIENNE,JACKS,7
BRIENNE,LORAS,9
DAISY,JOFFREY,7
THEON,WINTERFELL_SHEPHERD,7
ARYA,MOUNTAIN,8
ARYA,LOMMY,8
BRAN,FARLEN,6
BRAN,DAGMER,6
BRONN,PYCELLE,8
BRONN,LANCEL,6
CRASTER,GILLY,6
GENDRY,TICKLER,6
LOMMY,POLLIVER,6
MANCE,YGRITTE,16
MANDON,PODRICK,6
RICKON,THEON,13
ROOSE_BOLTON,TALISA,13
ALTON,TORRHEN,5
ARYA,TICKLER,5
BALON,NED,5
BITER,JAQEN,5
BRIENNE,STANNIS,18
BRIENNE,MARGAERY,17
BRIENNE,ROBB,5
BRONN,MERYN,5
CATELYN,MARGAERY,5
CERSEI,LORAS,48
CRASTER,SAM,13
CRESSEN,STANNIS,5
DAGMER,MAESTER_LUWIN,5
DROWNED_PRIEST,THEON,5
GERARD,RENLY,5
HOUND,MERYN,7
JOFFREY,PODRICK,10
JON,MANCE,124
JORAH,PYATT_PREE,5
LORAS,STANNIS,5
MAESTER_LUWIN,RODRIK,5
MYRCELLA,TOMMEN,9
MYRCELLA,SANSA,5
PYCELLE,TIMETT,5
QHORIN,SAM,5
ROBB,RODRIK,5
TYWIN,VARYS,33
ALTON,RICKARD_KARSTARK,4
BARRA,MHAEGAN,4
BRONN,SANSA,7
BRONN,TIMETT,4
CATELYN,ROOSE_BOLTON,17
CATELYN,COLEN,4
CERSEI,PODRICK,9
DAENERYS,SILK_KING,4
DAENERYS,QUAITHE,4
DAGMER,RICKON,4
DONTOS,MERYN,4
DOREAH,KOVARRO,4
EDDISON_TOLLETT,GILLY,4
GENDRY,TYWIN,6
GENDRY,LOMMY,4
GENDRY,JAQEN,4
HAYLENE,JOFFREY,4
HAYLENE,HOUND,4
HOUND,PODRICK,12
ILYN_PAYNE,SHAE,4
JAIME,STANNIS,9
JAIME,RICKARD_KARSTARK,4
JANOS,LITTLEFINGER,4
JANOS,JOFFREY,4
JANOS,MHAEGAN,4
JANOS,ROS,4
JOFFREY,MARGAERY,110
JOFFREY,MANDON,4
LANCEL,SANSA,4
MAESTER_LUWIN,RICKON,4
MATTHOS,MELISANDRE,4
RICKARD_KARSTARK,TORRHEN,4
ROBB,YARA,4
STANNIS,VARYS,6
ALTON,TYRION,3
AMORY,JAQEN,3
AMORY,POLLIVER,3
ARYA,VISENYA,3
BLACK_LORREN,RODRIK,3
BRAN,WINTERFELL_SHEPHERD,3
BRAN,JOFFREY,3
BRONN,PODRICK,61
BRONN,JANOS,3
CERSEI,MERYN,17
CERSEI,MANDON,3
CRASTER,EDDISON_TOLLETT,5
DAENERYS,MALAKKO,3
DAGMER,OSHA,3
DAGMER,RODRIK,3
FARLEN,THEON,3
GENDRY,MOUNTAIN,3
GENDRY,RORGE,3
HOT_PIE,MOUNTAIN,3
HOT_PIE,JAQEN,3
HOUND,SHAE,3
IRRI,XARO,3
IRRI,KOVARRO,3
JAIME,TORRHEN,3
JAIME,MATTHOS,3
JANOS,VARYS,3
JANOS,PODRICK,3
JAQEN,TYWIN,3
JOFFREY,TALISA,3
JORAH,SPICE_KING,3
KOVARRO,MALAKKO,3
